"Title","RPI All Items: Percentage change over 12 months: Jan 1987=100"
"CDID","CZBH"
"PreUnit",""
"Unit","%"
"Release date","17-10-2018"
"Next release","14 November 2018"
"1949","2.8"
"1950","3.1"
"1951","9.1"
"1952","9.2"
"1953","3.1"
"1954","1.8"
"1955","4.5"
"1956","4.9"
"1957","3.7"
"1958","3.0"
"1959","0.6"
"1960","1.0"
"1961","3.4"
"1962","4.3"
"1963","2.0"
"1964","3.3"
"1965","4.8"
"1966","3.9"
"1967","2.5"
"1968","4.7"
"1969","5.4"
"1970","6.4"
"1971","9.4"
"1972","7.1"
"1973","9.2"
"1974","16.0"
"1975","24.2"
"1976","16.5"
"1977","15.8"
"1978","8.3"
"1979","13.4"
"1980","18.0"
"1981","11.9"
"1982","8.6"
"1983","4.6"
"1984","5.0"
"1985","6.1"
"1986","3.4"
"1987","4.2"
"1988","4.9"
"1989","7.8"
"1990","9.5"
"1991","5.9"
"1992","3.7"
"1993","1.6"
"1994","2.4"
"1995","3.5"
"1996","2.4"
"1997","3.1"
"1998","3.4"
"1999","1.5"
"2000","3.0"
"2001","1.8"
"2002","1.7"
"2003","2.9"
"2004","3.0"
"2005","2.8"
"2006","3.2"
"2007","4.3"
"2008","4.0"
"2009","-0.5"
"2010","4.6"
"2011","5.2"
"2012","3.2"
"2013","3.0"
"2014","2.4"
"2015","1.0"
"2016","1.8"
"2017","3.6"
