,Fuel,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Coal,GBP/kWh,0.006353201,0.006259179,0.006600432,0.00611,0.00528,0.005,0.00507,0.00474,0.00421,0.00405,0.004063521,0.00444,0.00409,0.00389,0.0045,0.00497,0.0052292,0.00565512,0.009008811,0.007534054,0.00869275,0.011095898,0.009113673,0.008423757,0.007790757,0.006692638,0.007465261,0.010159437,0.00906
1,Oil,GBP/kWh,0.004457143,0.004717956,0.004812948,0.00472,0.00526,0.00684,0.00709,0.00746,0.00599,0.00715,0.0101,0.00981,0.01061,0.01308,0.012048683,0.01932,0.02117,0.019837315,0.023725438,0.022203986,0.034872844,0.044176615,0.047985029,0.044886616,0.040530182,0.027026374,0.023931039,0.030828351,0.02748
2,Gas,GBP/kWh,0.00562,0.00607,0.00595,0.00556,0.00588,0.00584,0.00592,0.00593,0.0056,0.00468,0.00534,0.00647,0.00601,0.0065,0.00706,0.00973,0.01264,0.01047,0.01481,0.01135,0.01307,0.01711,0.021354879,0.022992855,0.018897356,0.015855202,0.012758732,0.015241495,0.018977
3,Uranium,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039
4,Diesel,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
5,Woodchip,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0252
6,Poultry_litter,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01139
7,Straw,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016488
8,Meat,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
9,Waste_post_2000,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0252
10,Waste_pre_2000,GBP/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01551
