,Company,Name,Capacity,proportion
10,EDF Energy,14,14763.0,17.38504765785265
37,RWE Generation SE,11,8664.0,10.202807891867192
42,SSE,130,8390.700000000003,9.88096724126155
54,Uniper UK Limited,9,6605.0,7.7781101253211915
46,Scottish power,49,4471.5,5.2656804580429535
8,Drax Power Ltd,3,4035.0,4.7516539524104475
34,Orsted,11,2738.7000000000003,3.2251188796695156
18,Engie,3,2675.0,3.1501051605199373
26,Intergen,3,2490.0,2.932247420446596
13,EPUKi,2,2270.0,2.67317335117019
4,Calon energy (formerly MPF operations),4,2221.3,2.6158237731076404
0,AES,5,1974.0,2.324600967052844
16,Eggborough Power Ltd,1,1960.0,2.3081144353716176
9,E.On UK,36,1807.1000000000001,2.1280579572245157
14,ESB,3,1371.0,1.6145024953543303
55,VPI Immingham LLP,1,1240.0,1.4602356631942888
47,Seabank Power Limited,1,1234.0,1.4531700067594777
25,Innogy renewables,44,1204.6,1.4185482902289033
43,Saltend Cogeneration Company Ltd,1,1200.0,1.4131312869622148
56,Vattenfall,12,985.5,1.160534069417719
31,Marchwood Power Limited,1,920.0,1.083400653337698
33,Octopus energy,121,895.2000000000003,1.0541959400738126
44,Scira Offshore Energy Ltd,7,748.0,0.8808518355397806
5,Centrica,3,745.0,0.8773190073223752
11,EDF renewables,36,744.9000000000001,0.877201246381795
28,LightsourceBP,100,728.0999999999998,0.8574174083643237
22,Greencoat,57,723.6999999999999,0.8522359269787958
24,Infinis,35,693.5000000000001,0.8166721229235803
38,Renewable energy systems,38,629.1000000000003,0.7408340771899414
21,Fred Olsen Renewables,8,508.1,0.5983433390879178
1,Anesco,95,500.0000000000001,0.588804702900923
58,WPO,37,431.6000000000001,0.5082562195440767
19,Falck renewables LTD,12,415.5,0.4892967081106669
6,Corby Power Ltd,1,401.0,0.47222137172654016
41,SIMEC,1,363.0,0.42747221430607
36,REG power,33,249.39999999999995,0.29369578580698025
51,Statkraft Energy Ltd,5,233.2,0.27461851343299043
17,Eneco,7,203.5,0.2396435140806756
57,Viridor Waste Management,7,197.8,0.2329311404676051
59,Xceco,2,194.4,0.22892726848787884
48,Sellafield Ltd,1,180.0,0.21196969304433225
40,Rockfire capital,23,176.9,0.20831910388634653
3,British Solar Renewables Ltd,18,173.1,0.20384418814429947
27,Lark,28,166.9,0.19654300982832806
49,Sembcorp Utilities (UK) Ltd,2,158.0,0.18606228611669162
7,Cubico Sustainable Investments Limited,12,148.9,0.17534604052389485
2,Blue energy,3,141.60000000000002,0.1667494918615414
23,Indian Queens Power Ltd,1,140.0,0.1648653168122584
12,EPR,5,120.3,0.14166641151796203
15,Ecotricity,23,88.5,0.10421843241346335
45,Scotia wind,9,84.60000000000001,0.09962575573083615
39,Riverside Resource Recovery Limited,1,80.0,0.09420875246414766
32,Multifuel energy ltd,1,79.0,0.09303114305834581
20,Foresight Group ,1,72.2,0.08502339909889327
35,Peel energy,3,61.599999999999994,0.0725407393973937
29,Londonwaste Limited,1,60.0,0.07065656434811075
52,Suez recycling and recovery,1,49.0,0.05770286088429044
53,Third Energy Trading Ltd,1,41.5,0.048870790340776606
30,Magnox Ltd,1,35.3,0.04156961202480516
50,South East London Combined Heat & Power Ltd,1,35.0,0.0412163292030646
